,Preventable or Mitigable Zymotic diseases,Wounds,Other causes
April 1854,N/A,N/A,"(np.float64(1193.0566636267595), np.float64(327.05068740742917))"
May 1854,"(np.float64(1194.5598687802535), np.float64(307.509020412004))",N/A,"(np.float64(1203.579099701219), np.float64(312.77023844923383))"
June 1854,"(np.float64(1214.9401293914011), np.float64(299.2344327846676))",N/A,"(np.float64(1223.6392332889372), np.float64(313.5879542156023))"
July 1854,"(np.float64(1226.6839196530748), np.float64(147.43506977266188))",N/A,"(np.float64(1228.423740432582), np.float64(279.66144901521125))"
August 1854,"(np.float64(1358.4753437007473), np.float64(97.85017755670583))",N/A,"(np.float64(1254.0860969303137), np.float64(283.1410905742257))"
September 1854,"(np.float64(1449.815934624877), np.float64(199.6296931578787))","(np.float64(1290.187378105089), np.float64(293.58001525126906))","(np.float64(1297.5816164179946), np.float64(288.7955081076242))"
October 1854,"(np.float64(1436.767278778573), np.float64(327.50652045166))","(np.float64(1336.2926287620305), np.float64(327.50652045166))","(np.float64(1336.2926287620305), np.float64(327.9414756465368))"
November 1854,"(np.float64(1471.9986495635942), np.float64(461.47272047371666))","(np.float64(1364.1297612341461), np.float64(401.88385877559404))","(np.float64(1313.2400034335597), np.float64(371.8719503290944))"
December 1854,"(np.float64(1417.1942950091166), np.float64(654.1578718041422))","(np.float64(1280.1137835452073), np.float64(412.577133158151))","(np.float64(1287.6899375188186), np.float64(422.3179025527937))"
January 1855,"(np.float64(1225.132551851002), np.float64(830.3479094172717))","(np.float64(1229.0288596088594), np.float64(409.54667156870653))","(np.float64(1230.3276288614784), np.float64(486.17405747322914))"
February 1855,"(np.float64(1009.5368559162434), np.float64(693.9771378922737))","(np.float64(1199.1571667986218), np.float64(380.9737480110879))","(np.float64(1142.0113196833845), np.float64(478.38144195751505))"
March 1855,"(np.float64(948.4947010431492), np.float64(496.56421149418145))","(np.float64(1187.4682435250504), np.float64(356.29713221132636))","(np.float64(1126.426088651956), np.float64(391.3639020320401))"
April 1855,"(np.float64(180.9220727453025), np.float64(327.7242086537076))",N/A,"(np.float64(315.99407501768155), np.float64(334.21805491680277))"
May 1855,"(np.float64(215.98884256601627), np.float64(232.9140532125184))","(np.float64(326.38422903863386), np.float64(304.34636210656504))","(np.float64(336.77438305958606), np.float64(310.8402083696602))"
June 1855,"(np.float64(273.1346896812536), np.float64(135.50635926609118))","(np.float64(323.7866905333958), np.float64(232.9140532125184))","(np.float64(356.2559218488715), np.float64(292.6574388329938))"
July 1855,"(np.float64(390.02392241696634), np.float64(184.85959086561434))","(np.float64(382.2313069012521), np.float64(249.79805349656579))","(np.float64(382.2313069012521), np.float64(284.8648233172796))"
August 1855,"(np.float64(464.053769816251), np.float64(196.5485141391856))","(np.float64(426.2461559323326), np.float64(258.8102694601481))","(np.float64(398.06105930431545), np.float64(300.1484111812399))"
September 1855,"(np.float64(465.078955730934), np.float64(287.6217015687879))","(np.float64(488.2533685139703), np.float64(276.97399839820366))","(np.float64(407.4560915136545), np.float64(317.0594691580502))"
October 1855,"(np.float64(463.8262847696888), np.float64(334.59686261548313))","(np.float64(424.3671494904648), np.float64(335.22319809610576))","(np.float64(411.8404398780127), np.float64(335.22319809610576))"
November 1855,"(np.float64(473.22131697902785), np.float64(394.72506875525306))","(np.float64(406.2034205524094), np.float64(353.38692703416126))","(np.float64(416.85112372299363), np.float64(361.5292882822551))"
December 1855,"(np.float64(417.47745920361626), np.float64(400.36208808085644))","(np.float64(384.9080142112409), np.float64(345.87090126669005))","(np.float64(400.56640122680597), np.float64(370.92432049159413))"
January 1856,N/A,N/A,"(np.float64(379.2709948856375), np.float64(380.3193527009332))"
February 1856,N/A,N/A,"(np.float64(362.9862723894498), np.float64(361.5292882822551))"
March 1856,"(np.float64(350.4595627769977), np.float64(350.2552496310483))",N/A,"(np.float64(342.31720152890387), np.float64(355.89226895665166))"
